User-Agent
Advanced Science (Honours),,Cell Biology,/programs-courses/plan.html?acad_plan=CELBIA2516,Bachelor Honours
Advanced Science (Honours),,Cell Biology,/programs-courses/plan.html?acad_plan=CELBIX2516,Bachelor Honours
Advanced Science (Honours),,Chemical Biology,/programs-courses/plan.html?acad_plan=CHEMBA2516,Bachelor Honours
Advanced Science (Honours),,Chemistry,/programs-courses/plan.html?acad_plan=CHMSTA2516,Bachelor Honours
Advanced Science (Honours),,Chemistry,/programs-courses/plan.html?acad_plan=CHEMIX2516,Bachelor Honours
Advanced Science (Honours),,Chemistry,/programs-courses/plan.html?acad_plan=CHMSTC2516,Bachelor Honours
Advanced Science (Honours),,Chinese,/programs-courses/plan.html?acad_plan=CHINEA2516,Bachelor Honours
Advanced Science (Honours),,Chinese Translation and Interpreting,/programs-courses/plan.html?acad_plan=CHITIA2516,Bachelor Honours
Advanced Science (Honours),,Coastal and Ocean Science,/programs-courses/plan.html?acad_plan=COOSCX2516,Bachelor Honours
Advanced Science (Honours),,Coastal and Ocean Science,/programs-courses/plan.html?acad_plan=COOSCA2516,Bachelor Honours
Advanced Science (Honours),,Coastal and Ocean Science,/programs-courses/plan.html?acad_plan=COOSCC2516,Bachelor Honours
Advanced Science (Honours),,Computational Science,/programs-courses/plan.html?acad_plan=COMSCA2516,Bachelor Honours
Advanced Science (Honours),,Computer Science,/programs-courses/plan.html?acad_plan=COMPUX2516,Bachelor Honours
Advanced Science (Honours),,Computer Science,/programs-courses/plan.html?acad_plan=COSCIC2516,Bachelor Honours
Advanced Science (Honours),,Computer Science,/programs-courses/plan.html?acad_plan=COSCIA2516,Bachelor Honours
Advanced Science (Honours),,Criminology,/programs-courses/plan.html?acad_plan=CRIMIA2516,Bachelor Honours
Advanced Science (Honours),,Data Science,/programs-courses/plan.html?acad_plan=DATASA2516,Bachelor Honours
Advanced Science (Honours),,Design,/programs-courses/plan.html?acad_plan=DESGNA2516,Bachelor Honours
Advanced Science (Honours),,Developmental Biology,/programs-courses/plan.html?acad_plan=DEVELA2516,Bachelor Honours
Advanced Science (Honours),,Developmental Biology,/programs-courses/plan.html?acad_plan=DEVELX2516,Bachelor Honours
Advanced Science (Honours),,Drama,/programs-courses/plan.html?acad_plan=DRAMAA2516,Bachelor Honours
Advanced Science (Honours),,Drug Design and Development,/programs-courses/plan.html?acad_plan=DRUGDX2516,Bachelor Honours
Advanced Science (Honours),,Earth Science,/programs-courses/plan.html?acad_plan=EARTHA2516,Bachelor Honours
Advanced Science (Honours),,Earth Science,/programs-courses/plan.html?acad_plan=EARTHX2516,Bachelor Honours
Advanced Science (Honours),,Earth Science,/programs-courses/plan.html?acad_plan=EARTHC2516,Bachelor Honours
